0x11799E0078CC26;635ed719e26e136be44c84dbf8f4422849cc428c;C7JQ7WJVGRYC;iPhone8,1;N71mAP
0x14751C30F8CF26;300d19400332da03497d778fb5a469fc4512e788;DX5V777FHTVL;iPhone8,4;N69AP
0x12119400E81826;0f0e422930e884193c63cd1fe384dbea1c1cdeb4;C79P64UDG5MR;iPhone7,2;N61AP
0x005B7C89C28A8;d94cf3ab2c2e75342490a048a307d323239f3f2f;F17RL1CHGRYC;iPhone8,1;N71AP
0x0038F8FB50AEC;83cee5b4a69db980c75ecf752555fa0cf948662e;F17RL1MKGRYC;iPhone8,1;N71AP
0x00475CB3BCB28;0d3f2a89ba567ccedd624541810193ac8c12bd1e;DNRQTP1WGRYC;iPhone8,1;N71AP
0x1E54C410F08226;f50679a297e44c6bdbe3216157bdc1155815bc7c;FFMRL3Z1GRYC;iPhone8,1;N71mAP
0x106564240BEC26;5c35bf4a59ef54f19fa2239f31000d8debe75ff5;F4GQP9CTGRYC;iPhone8,1;N71mAP
0x1C0DA61008A426;b6a190a3588d3358e4b8ba7170afb7bd8d16149e;F18PVELUG5MT;iPhone7,2;N61AP
0x1A71D201280026;d7f310433d149e0ffdbb92347c68efefbbeadf6b;DX3XD1DXHFY8;iPhone9,4;D111AP
0x15513201280026;88c971d51d9005524424b35600be8efec7796981;DX3XD16XHFY8;iPhone9,4;D111AP
0x234912E680026;5aad017b0aaf1afcd04a9f599b29ed40b10a3ef6;DX3XD1FCHFY8;iPhone9,4;D111AP
0x1104EE08510326;158a3d97a003457f670f1504131208d34db75110;DMPT65HWG5YP;iPad5,4;J82AP
0x818C828F81C26;83fd2843767d98b4899eced557af50538ae0e086;DNQQRWQ7GRY9;iPhone8,1;N71mAP
0x1624D12041E3BA;af0569ad5599bcf6a17c2673955efc04581f30e0;FFMS96TKGRY9;iPhone8,1;N71mAP
0x0030E2E81B3AC;7c59a9eafa1ebacba2f0beda0914b7a175af8848;F4GQN657GRYC;iPhone8,1;N71AP
0xA29490053C426;cb5f3f579a087dba31652b2f6be9c5eb57a6564c;F78PM2ZDG5MT;iPhone7,2;N61AP
0x4141938BB8226;52d0f1b901ff4a630495f341931517afbae4f413;FFMRLAJ1GRYC;iPhone8,1;N71mAP
0xC195E2844C426;31bcb776c9d23f50bab88811f6d48877df0f314d;F18PVFA8G5MT;iPhone7,2;N61AP
0x0004CCE706814;f6eb704ff4caca5542fcc0f880c0598b132fb29c;DNPM3W2JFFG9;iPhone6,2;N53AP
0x0050D899B90F0;e6ac7214b3a19ab95180e5bbd19d722d6d22edc6;DX3NXBNCFFG9;iPhone6,2;N53AP
0x569EA24041C26;80357560ac6786b1e9afd6d19b76b6759ef400a7;F17QXARQGRY9;iPhone8,1;N71mAP
0x1559A42844C426;8d7a302c4e33ef3b6b7ec6b55aed080dfb14a778;F78PPMGZG5MR;iPhone7,2;N61AP
0x1A18DA280BEC26;0eb7dd8d45b9e2663fa62d2db802442d82e14d0c;FK3QQ569GRY9;iPhone8,1;N71mAP
0x0040E49B1360A;7fddfd85cab757882c664429adbf9eb9df7c520d;FFMSK6L5GRYH;iPhone8,1;N71AP
0x1A283C28F88226;28e09987c04a660ad8d5e99fb901966948a12406;FFMS7VHBGRY9;iPhone8,1;N71mAP
0x1C593204D3EC26;cc1bee980f86ffb4757296800ba06f11ce58f2b4;FK3QQ5V6GRY9;iPhone8,1;N71mAP
0x5694A04314426;2246e4510681bb0a6e82959f90d51c347b7ba0a7;F73PNTXFG5MR;iPhone7,2;N61AP
0x16650908B9A826;2b97b8ef53f3529da44c2614473d2f6af39c7762;DMPPX6LVG5YL;iPad5,4;J82AP
0x001F60E3E25EC;c25d3f188d3807fa85b5a7cffd1a1905613a7827;C6KQQE47GRY9;iPhone8,1;N71AP
